时间(秒),轨道,小节,拍,位置,音符/和弦,频率(Hz),持续时间,力度,备注
0.000,低音,0,0,0,M0,31.88,1.00,100,根音-强拍
0.000,旋律,0,0,0,M0,63.77,1.00,68,soft-主音
0.083,和弦,0,0,1,完全五度+大三度+小三度,191.5+159.4+153.0,0.40,71,大三和弦-弱拍
0.083,旋律,0,0,1,M0,127.53,1.00,50,soft-主音
0.167,旋律,0,0,2,H0,168.28,1.00,85,normal-主音
0.250,和弦,0,0,3,完全五度+大三度+小三度,191.5+159.4+153.0,0.60,92,大三和弦-强拍
0.250,旋律,0,0,3,H0,84.14,1.00,50,soft-主音
0.333,旋律,0,0,4,J0,55.51,1.00,75,normal-主音
0.417,旋律,0,0,5,J0,55.51,1.00,70,normal-主音
0.500,低音,0,1,6,S0,36.62,1.00,100,根音-强拍
0.500,旋律,0,1,6,J+,56.03,1.00,83,soft-主音
0.583,和弦,0,1,7,完全五度+大三度+小三度,220.0+183.1+175.8,0.40,71,大三和弦-弱拍
0.583,旋律,0,1,7,J0,55.51,1.00,50,soft-主音
0.667,旋律,0,1,8,J0,55.51,1.00,75,normal-主音
0.750,和弦,0,1,9,完全五度+大三度+小三度,220.0+183.1+175.8,0.60,92,大三和弦-强拍
0.750,旋律,0,1,9,H0,84.14,1.00,50,soft-主音
0.833,旋律,0,1,10,H0,168.28,1.00,85,normal-主音
0.917,旋律,0,1,11,H0,84.14,1.00,70,normal-主音
1.000,低音,0,2,12,H0,42.07,1.00,100,根音-强拍
1.000,旋律,0,2,12,H0,168.28,1.00,78,soft-主音
1.083,和弦,0,2,13,完全五度+大三度+小三度,252.7+210.3+201.9,0.40,71,大三和弦-弱拍
1.083,旋律,0,2,13,H0,168.28,1.00,60,soft-主音
1.167,旋律,0,2,14,H0,168.28,1.00,85,normal-主音
1.250,和弦,0,2,15,完全五度+大三度+小三度,252.7+210.3+201.9,0.60,92,大三和弦-强拍
1.250,旋律,0,2,15,H0,84.14,1.00,50,soft-主音
1.333,旋律,0,2,16,M0,63.77,1.00,75,normal-主音
1.417,旋律,0,2,17,M0,63.77,1.00,70,normal-主音
1.500,低音,0,3,18,T0,48.32,1.00,100,根音-强拍
1.500,旋律,0,3,18,M-,63.18,1.00,58,soft-主音
1.583,和弦,0,3,19,完全五度+大三度+小三度,290.3+241.6+232.0,0.40,71,大三和弦-弱拍
1.583,旋律,0,3,19,M-,126.36,1.00,40,soft-主音
1.667,旋律,0,3,20,M-,63.18,1.00,65,normal-主音
1.750,和弦,0,3,21,完全五度+大三度+小三度,290.3+241.6+232.0,0.60,92,大三和弦-强拍
1.750,旋律,0,3,21,M-,126.36,1.00,40,soft-主音
1.833,旋律,0,3,22,M-,252.71,1.00,75,normal-主音
1.917,旋律,0,3,23,M-,126.36,1.00,60,normal-主音
2.000,低音,0,4,24,M0,31.88,1.00,100,根音-强拍
2.000,旋律,0,4,24,M-,63.18,1.00,58,soft-主音
2.083,和弦,0,4,25,完全五度+大三度+小三度,191.5+159.4+153.0,0.40,71,大三和弦-弱拍
2.083,旋律,0,4,25,M0,63.77,1.00,50,soft-主音
2.167,旋律,0,4,26,M-,63.18,1.00,65,normal-主音
2.250,和弦,0,4,27,完全五度+大三度+小三度,191.5+159.4+153.0,0.60,92,大三和弦-强拍
2.250,旋律,0,4,27,M-,126.36,1.00,40,soft-主音
2.333,旋律,0,4,28,M-,63.18,1.00,65,normal-主音
2.417,旋律,0,4,29,M0,63.77,1.00,70,normal-主音
2.500,低音,1,0,0,M0,31.88,1.00,100,根音-强拍
2.500,旋律,1,0,0,M0,63.77,1.00,68,soft-主音
2.583,和弦,1,0,1,完全五度+大三度+小三度,191.5+159.4+153.0,0.40,71,大三和弦-弱拍
2.583,旋律,1,0,1,M0,63.77,1.00,50,soft-主音
2.667,旋律,1,0,2,M0,127.53,1.00,75,normal-主音
2.750,和弦,1,0,3,完全五度+大三度+小三度,191.5+159.4+153.0,0.60,92,大三和弦-强拍
2.750,旋律,1,0,3,M0,63.77,1.00,50,soft-主音
2.833,旋律,1,0,4,M0,127.53,1.00,75,normal-主音
2.917,旋律,1,0,5,M0,63.77,1.00,70,normal-主音
3.000,低音,1,1,6,S0,36.62,1.00,100,根音-强拍
3.000,旋律,1,1,6,M-,63.18,1.00,58,soft-主音
3.083,和弦,1,1,7,完全五度+大三度+小三度,220.0+183.1+175.8,0.40,71,大三和弦-弱拍
3.083,旋律,1,1,7,M-,126.36,1.00,40,soft-主音
3.167,旋律,1,1,8,M-,252.71,1.00,75,normal-主音
3.250,和弦,1,1,9,完全五度+大三度+小三度,220.0+183.1+175.8,0.60,92,大三和弦-强拍
3.250,旋律,1,1,9,M-,126.36,1.00,40,soft-主音
3.333,旋律,1,1,10,M0,127.53,1.00,75,normal-主音
3.417,旋律,1,1,11,M+,128.71,1.00,85,normal-主音
3.500,低音,1,2,12,H0,42.07,1.00,100,根音-强拍
3.500,旋律,1,2,12,M0,127.53,1.00,68,soft-主音
3.583,和弦,1,2,13,完全五度+大三度+小三度,252.7+210.3+201.9,0.40,71,大三和弦-弱拍
3.583,旋律,1,2,13,M0,63.77,1.00,50,soft-主音
3.667,旋律,1,2,14,M0,127.53,1.00,75,normal-主音
3.750,和弦,1,2,15,完全五度+大三度+小三度,252.7+210.3+201.9,0.60,92,大三和弦-强拍
3.750,旋律,1,2,15,M0,127.53,1.00,50,soft-主音
3.833,旋律,1,2,16,M0,127.53,1.00,75,normal-主音
3.917,旋律,1,2,17,M0,63.77,1.00,70,normal-主音
4.000,低音,1,3,18,T0,48.32,1.00,100,根音-强拍
4.000,旋律,1,3,18,M0,127.53,1.00,68,soft-主音
4.083,和弦,1,3,19,完全五度+大三度+小三度,290.3+241.6+232.0,0.40,71,大三和弦-弱拍
4.083,旋律,1,3,19,M0,127.53,1.00,50,soft-主音
4.167,旋律,1,3,20,M0,127.53,1.00,75,normal-主音
4.250,和弦,1,3,21,完全五度+大三度+小三度,290.3+241.6+232.0,0.60,92,大三和弦-强拍
4.250,旋律,1,3,21,M0,127.53,1.00,50,soft-主音
4.333,旋律,1,3,22,M0,63.77,1.00,75,normal-主音
4.417,旋律,1,3,23,M0,63.77,1.00,70,normal-主音
4.500,低音,1,4,24,M0,31.88,1.00,100,根音-强拍
4.500,旋律,1,4,24,M0,127.53,1.00,68,soft-主音
4.583,和弦,1,4,25,完全五度+大三度+小三度,191.5+159.4+153.0,0.40,71,大三和弦-弱拍
4.583,旋律,1,4,25,M0,63.77,1.00,50,soft-主音
4.667,旋律,1,4,26,M0,127.53,1.00,75,normal-主音
4.750,和弦,1,4,27,完全五度+大三度+小三度,191.5+159.4+153.0,0.60,92,大三和弦-强拍
4.750,旋律,1,4,27,M0,63.77,1.00,50,soft-主音
4.833,旋律,1,4,28,M0,127.53,1.00,75,normal-主音
4.917,旋律,1,4,29,M0,63.77,1.00,70,normal-主音
5.000,低音,2,0,0,M0,31.88,1.00,100,根音-强拍
5.000,旋律,2,0,0,M0,63.77,1.00,68,soft-主音
5.083,和弦,2,0,1,完全五度+大三度+小三度,191.5+159.4+153.0,0.40,71,大三和弦-弱拍
5.083,旋律,2,0,1,M0,127.53,1.00,50,soft-主音
5.167,旋律,2,0,2,M0,127.53,1.00,75,normal-主音
5.250,和弦,2,0,3,完全五度+大三度+小三度,191.5+159.4+153.0,0.60,92,大三和弦-强拍
5.250,旋律,2,0,3,M0,127.53,1.00,50,soft-主音
5.333,旋律,2,0,4,M0,63.77,1.00,75,normal-主音
5.417,旋律,2,0,5,T0,96.65,1.00,70,normal-主音
5.500,低音,2,1,6,S0,36.62,1.00,100,根音-强拍
5.500,旋律,2,1,6,T0,96.65,1.00,68,soft-主音
5.583,和弦,2,1,7,完全五度+大三度+小三度,220.0+183.1+175.8,0.40,71,大三和弦-弱拍
5.583,旋律,2,1,7,J0,111.02,1.00,50,soft-主音
5.667,旋律,2,1,8,S0,146.49,1.00,85,normal-主音
5.750,和弦,2,1,9,完全五度+大三度+小三度,220.0+183.1+175.8,0.60,92,大三和弦-强拍
5.750,旋律,2,1,9,T0,193.30,1.00,60,soft-主音
5.833,旋律,2,1,10,M0,127.53,1.00,75,normal-主音
5.917,旋律,2,1,11,T0,193.30,1.00,80,normal-主音
6.000,低音,2,2,12,H0,42.07,1.00,100,根音-强拍
6.000,旋律,2,2,12,S0,146.49,1.00,78,soft-主音
6.083,和弦,2,2,13,完全五度+大三度+小三度,252.7+210.3+201.9,0.40,71,大三和弦-弱拍
6.083,旋律,2,2,13,S0,146.49,1.00,60,soft-主音
6.167,旋律,2,2,14,S0,73.25,1.00,75,normal-主音
6.250,和弦,2,2,15,完全五度+大三度+小三度,252.7+210.3+201.9,0.60,92,大三和弦-强拍
6.250,旋律,2,2,15,S0,146.49,1.00,60,soft-主音
6.333,旋律,2,2,16,S-,145.15,1.00,65,normal-主音
6.417,旋律,2,2,17,S0,146.49,1.00,80,normal-主音
6.500,低音,2,3,18,T0,48.32,1.00,100,根音-强拍
6.500,旋律,2,3,18,S0,73.25,1.00,68,soft-主音
6.583,和弦,2,3,19,完全五度+大三度+小三度,290.3+241.6+232.0,0.40,71,大三和弦-弱拍
6.583,旋律,2,3,19,S+,73.93,1.00,65,soft-主音
6.667,旋律,2,3,20,S+,147.85,1.00,100,normal-主音
6.750,和弦,2,3,21,完全五度+大三度+小三度,290.3+241.6+232.0,0.60,92,大三和弦-强拍
6.750,旋律,2,3,21,S0,146.49,1.00,60,soft-主音
6.833,旋律,2,3,22,S0,73.25,1.00,75,normal-主音
6.917,旋律,2,3,23,S-,72.57,1.00,60,normal-主音
7.000,低音,2,4,24,M0,31.88,1.00,100,根音-强拍
7.000,旋律,2,4,24,S0,73.25,1.00,68,soft-主音
7.083,和弦,2,4,25,完全五度+大三度+小三度,191.5+159.4+153.0,0.40,71,大三和弦-弱拍
7.083,旋律,2,4,25,S-,72.57,1.00,40,soft-主音
7.167,旋律,2,4,26,S-,145.15,1.00,65,normal-主音
7.250,和弦,2,4,27,完全五度+大三度+小三度,191.5+159.4+153.0,0.60,92,大三和弦-强拍
7.250,旋律,2,4,27,S0,146.49,1.00,60,soft-主音
7.333,旋律,2,4,28,S0,73.25,1.00,75,normal-主音
7.417,旋律,2,4,29,S0,73.25,1.00,70,normal-主音
7.500,低音,3,0,0,M0,31.88,1.00,100,根音-强拍
7.500,旋律,3,0,0,M0,63.77,1.00,68,soft-主音
7.583,和弦,3,0,1,完全五度+大三度+小三度,191.5+159.4+153.0,0.40,71,大三和弦-弱拍
7.583,旋律,3,0,1,M0,63.77,1.00,50,soft-主音
7.667,旋律,3,0,2,M0,63.77,1.00,75,normal-主音
7.750,和弦,3,0,3,完全五度+大三度+小三度,191.5+159.4+153.0,0.60,92,大三和弦-强拍
7.750,旋律,3,0,3,T0,96.65,1.00,50,soft-主音
7.833,旋律,3,0,4,T0,96.65,1.00,75,normal-主音
7.917,旋律,3,0,5,T-,95.76,1.00,60,normal-主音
8.000,低音,3,1,6,S0,36.62,1.00,100,根音-强拍
8.000,旋律,3,1,6,T0,96.65,1.00,68,soft-主音
8.083,和弦,3,1,7,完全五度+大三度+小三度,220.0+183.1+175.8,0.40,71,大三和弦-弱拍
8.083,旋律,3,1,7,T-,95.76,1.00,40,soft-主音
8.167,旋律,3,1,8,T0,96.65,1.00,75,normal-主音
8.250,和弦,3,1,9,完全五度+大三度+小三度,220.0+183.1+175.8,0.60,92,大三和弦-强拍
8.250,旋律,3,1,9,T0,96.65,1.00,50,soft-主音
8.333,旋律,3,1,10,S0,73.25,1.00,75,normal-主音
8.417,旋律,3,1,11,S0,73.25,1.00,70,normal-主音
8.500,低音,3,2,12,H0,42.07,1.00,100,根音-强拍
8.500,旋律,3,2,12,S-,72.57,1.00,58,soft-主音
8.583,和弦,3,2,13,完全五度+大三度+小三度,252.7+210.3+201.9,0.40,71,大三和弦-弱拍
8.583,旋律,3,2,13,S0,73.25,1.00,50,soft-主音
8.667,旋律,3,2,14,S+,73.93,1.00,90,normal-主音
8.750,和弦,3,2,15,完全五度+大三度+小三度,252.7+210.3+201.9,0.60,92,大三和弦-强拍
8.750,旋律,3,2,15,S0,73.25,1.00,50,soft-主音
8.833,旋律,3,2,16,S0,73.25,1.00,75,normal-主音
8.917,旋律,3,2,17,J0,55.51,1.00,70,normal-主音
9.000,低音,3,3,18,T0,48.32,1.00,100,根音-强拍
9.000,旋律,3,3,18,S0,73.25,1.00,68,soft-主音
9.083,和弦,3,3,19,完全五度+大三度+小三度,290.3+241.6+232.0,0.40,71,大三和弦-弱拍
9.083,旋律,3,3,19,J0,55.51,1.00,50,soft-主音
9.167,旋律,3,3,20,H0,84.14,1.00,75,normal-主音
9.250,和弦,3,3,21,完全五度+大三度+小三度,290.3+241.6+232.0,0.60,92,大三和弦-强拍
9.250,旋律,3,3,21,J0,55.51,1.00,50,soft-主音
9.333,旋律,3,3,22,J0,55.51,1.00,75,normal-主音
9.417,旋律,3,3,23,J0,55.51,1.00,70,normal-主音
9.500,低音,3,4,24,M0,31.88,1.00,100,根音-强拍
9.500,旋律,3,4,24,S0,73.25,1.00,68,soft-主音
9.583,和弦,3,4,25,完全五度+大三度+小三度,191.5+159.4+153.0,0.40,71,大三和弦-弱拍
9.583,旋律,3,4,25,J0,55.51,1.00,50,soft-主音
9.667,旋律,3,4,26,J0,55.51,1.00,75,normal-主音
9.750,和弦,3,4,27,完全五度+大三度+小三度,191.5+159.4+153.0,0.60,92,大三和弦-强拍
9.750,旋律,3,4,27,J0,55.51,1.00,50,soft-主音
9.833,旋律,3,4,28,H0,84.14,1.00,75,normal-主音
9.917,旋律,3,4,29,J0,55.51,1.00,70,normal-主音
10.000,低音,4,0,0,M0,31.88,1.00,100,根音-强拍
10.000,旋律,4,0,0,M0,63.77,1.00,68,soft-主音
10.083,和弦,4,0,1,完全五度+大三度+小三度,191.5+159.4+153.0,0.40,71,大三和弦-弱拍
10.083,旋律,4,0,1,H0,84.14,1.00,50,soft-主音
10.167,旋律,4,0,2,H0,168.28,1.00,85,normal-主音
10.250,和弦,4,0,3,完全五度+大三度+小三度,191.5+159.4+153.0,0.60,92,大三和弦-强拍
10.250,旋律,4,0,3,H0,168.28,1.00,60,soft-主音
10.333,旋律,4,0,4,H0,84.14,1.00,75,normal-主音
10.417,旋律,4,0,5,H0,84.14,1.00,70,normal-主音
10.500,低音,4,1,6,S0,36.62,1.00,100,根音-强拍
10.500,旋律,4,1,6,M0,63.77,1.00,68,soft-主音
10.583,和弦,4,1,7,完全五度+大三度+小三度,220.0+183.1+175.8,0.40,71,大三和弦-弱拍
10.583,旋律,4,1,7,T0,96.65,1.00,50,soft-主音
10.667,旋律,4,1,8,T0,96.65,1.00,75,normal-主音
10.750,和弦,4,1,9,完全五度+大三度+小三度,220.0+183.1+175.8,0.60,92,大三和弦-强拍
10.750,旋律,4,1,9,T0,96.65,1.00,50,soft-主音
10.833,旋律,4,1,10,T0,96.65,1.00,75,normal-主音
10.917,旋律,4,1,11,J0,111.02,1.00,70,normal-主音
11.000,低音,4,2,12,H0,42.07,1.00,100,根音-强拍
11.000,旋律,4,2,12,S0,146.49,1.00,78,soft-主音
11.083,和弦,4,2,13,完全五度+大三度+小三度,252.7+210.3+201.9,0.40,71,大三和弦-弱拍
11.083,旋律,4,2,13,J0,111.02,1.00,50,soft-主音
11.167,旋律,4,2,14,H0,168.28,1.00,85,normal-主音
11.250,和弦,4,2,15,完全五度+大三度+小三度,252.7+210.3+201.9,0.60,92,大三和弦-强拍
11.250,旋律,4,2,15,J0,111.02,1.00,50,soft-主音
11.333,旋律,4,2,16,J0,111.02,1.00,75,normal-主音
11.417,旋律,4,2,17,T0,96.65,1.00,70,normal-主音
11.500,低音,4,3,18,T0,48.32,1.00,100,根音-强拍
11.500,旋律,4,3,18,J0,111.02,1.00,68,soft-主音
11.583,和弦,4,3,19,完全五度+大三度+小三度,290.3+241.6+232.0,0.40,71,大三和弦-弱拍
11.583,旋律,4,3,19,H0,168.28,1.00,60,soft-主音
11.667,旋律,4,3,20,H0,84.14,1.00,75,normal-主音
11.750,和弦,4,3,21,完全五度+大三度+小三度,290.3+241.6+232.0,0.60,92,大三和弦-强拍
11.750,旋律,4,3,21,M0,63.77,1.00,50,soft-主音
11.833,旋律,4,3,22,M0,127.53,1.00,75,normal-主音
11.917,旋律,4,3,23,T0,193.30,1.00,80,normal-主音
12.000,低音,4,4,24,M0,31.88,1.00,100,根音-强拍
12.000,旋律,4,4,24,T0,96.65,1.00,68,soft-主音
12.083,和弦,4,4,25,完全五度+大三度+小三度,191.5+159.4+153.0,0.40,71,大三和弦-弱拍
12.083,旋律,4,4,25,J0,111.02,1.00,50,soft-主音
12.167,旋律,4,4,26,H0,168.28,1.00,85,normal-主音
12.250,和弦,4,4,27,完全五度+大三度+小三度,191.5+159.4+153.0,0.60,92,大三和弦-强拍
12.250,旋律,4,4,27,H0,84.14,1.00,50,soft-主音
12.333,旋律,4,4,28,H0,84.14,1.00,75,normal-主音
12.417,旋律,4,4,29,H0,168.28,1.00,80,normal-主音
12.500,低音,5,0,0,M0,31.88,1.00,100,根音-强拍
12.500,旋律,5,0,0,M0,63.77,1.00,68,soft-主音
12.583,和弦,5,0,1,完全五度+大三度+小三度,191.5+159.4+153.0,0.40,71,大三和弦-弱拍
12.583,旋律,5,0,1,M0,127.53,1.00,50,soft-主音
12.667,旋律,5,0,2,M0,127.53,1.00,75,normal-主音
12.750,和弦,5,0,3,完全五度+大三度+小三度,191.5+159.4+153.0,0.60,92,大三和弦-强拍
12.750,旋律,5,0,3,M+,128.71,1.00,65,soft-主音
12.833,旋律,5,0,4,M+,257.43,1.00,100,normal-主音
12.917,旋律,5,0,5,M+,128.71,1.00,85,normal-主音
13.000,低音,5,1,6,S0,36.62,1.00,100,根音-强拍
13.000,旋律,5,1,6,M0,127.53,1.00,68,soft-主音
13.083,和弦,5,1,7,完全五度+大三度+小三度,220.0+183.1+175.8,0.40,71,大三和弦-弱拍
13.083,旋律,5,1,7,M-,126.36,1.00,40,soft-主音
13.167,旋律,5,1,8,M0,127.53,1.00,75,normal-主音
13.250,和弦,5,1,9,完全五度+大三度+小三度,220.0+183.1+175.8,0.60,92,大三和弦-强拍
13.250,旋律,5,1,9,M0,63.77,1.00,50,soft-主音
13.333,旋律,5,1,10,M-,63.18,1.00,65,normal-主音
13.417,旋律,5,1,11,M0,63.77,1.00,70,normal-主音
13.500,低音,5,2,12,H0,42.07,1.00,100,根音-强拍
13.500,旋律,5,2,12,M0,63.77,1.00,68,soft-主音
13.583,和弦,5,2,13,完全五度+大三度+小三度,252.7+210.3+201.9,0.40,71,大三和弦-弱拍
13.583,旋律,5,2,13,M0,63.77,1.00,50,soft-主音
13.667,旋律,5,2,14,M0,127.53,1.00,75,normal-主音
13.750,和弦,5,2,15,完全五度+大三度+小三度,252.7+210.3+201.9,0.60,92,大三和弦-强拍
13.750,旋律,5,2,15,M0,63.77,1.00,50,soft-主音
13.833,旋律,5,2,16,M+,64.36,1.00,90,normal-主音
13.917,旋律,5,2,17,M0,63.77,1.00,70,normal-主音
14.000,低音,5,3,18,T0,48.32,1.00,100,根音-强拍
14.000,旋律,5,3,18,M+,64.36,1.00,83,soft-主音
14.083,和弦,5,3,19,完全五度+大三度+小三度,290.3+241.6+232.0,0.40,71,大三和弦-弱拍
14.083,旋律,5,3,19,M+,128.71,1.00,65,soft-主音
14.167,旋律,5,3,20,M+,64.36,1.00,90,normal-主音
14.250,和弦,5,3,21,完全五度+大三度+小三度,290.3+241.6+232.0,0.60,92,大三和弦-强拍
14.250,旋律,5,3,21,M+,128.71,1.00,65,soft-主音
14.333,旋律,5,3,22,M+,64.36,1.00,90,normal-主音
14.417,旋律,5,3,23,M+,128.71,1.00,85,normal-主音
14.500,低音,5,4,24,M0,31.88,1.00,100,根音-强拍
14.500,旋律,5,4,24,M+,257.43,1.00,93,soft-主音
14.583,和弦,5,4,25,完全五度+大三度+小三度,191.5+159.4+153.0,0.40,71,大三和弦-弱拍
14.583,旋律,5,4,25,M+,128.71,1.00,65,soft-主音
14.667,旋律,5,4,26,M0,127.53,1.00,75,normal-主音
14.750,和弦,5,4,27,完全五度+大三度+小三度,191.5+159.4+153.0,0.60,92,大三和弦-强拍
14.750,旋律,5,4,27,M0,63.77,1.00,50,soft-主音
14.833,旋律,5,4,28,M0,127.53,1.00,75,normal-主音
14.917,旋律,5,4,29,M0,127.53,1.00,70,normal-主音
15.000,低音,6,0,0,M0,31.88,1.00,100,根音-强拍
15.000,旋律,6,0,0,M0,63.77,1.00,68,soft-主音
15.083,和弦,6,0,1,完全五度+大三度+小三度,191.5+159.4+153.0,0.40,71,大三和弦-弱拍
15.083,旋律,6,0,1,H0,84.14,1.00,50,soft-主音
15.167,旋律,6,0,2,H0,84.14,1.00,75,normal-主音
15.250,和弦,6,0,3,完全五度+大三度+小三度,191.5+159.4+153.0,0.60,92,大三和弦-强拍
15.250,旋律,6,0,3,H-,83.36,1.00,40,soft-主音
15.333,旋律,6,0,4,H0,84.14,1.00,75,normal-主音
15.417,旋律,6,0,5,H-,83.36,1.00,60,normal-主音
15.500,低音,6,1,6,S0,36.62,1.00,100,根音-强拍
15.500,旋律,6,1,6,H0,84.14,1.00,68,soft-主音
15.583,和弦,6,1,7,完全五度+大三度+小三度,220.0+183.1+175.8,0.40,71,大三和弦-弱拍
15.583,旋律,6,1,7,H-,83.36,1.00,40,soft-主音
15.667,旋律,6,1,8,H0,84.14,1.00,75,normal-主音
15.750,和弦,6,1,9,完全五度+大三度+小三度,220.0+183.1+175.8,0.60,92,大三和弦-强拍
15.750,旋律,6,1,9,H-,83.36,1.00,40,soft-主音
15.833,旋律,6,1,10,H0,84.14,1.00,75,normal-主音
15.917,旋律,6,1,11,H+,84.92,1.00,85,normal-主音
16.000,低音,6,2,12,H0,42.07,1.00,100,根音-强拍
16.000,旋律,6,2,12,H0,84.14,1.00,68,soft-主音
16.083,和弦,6,2,13,完全五度+大三度+小三度,252.7+210.3+201.9,0.40,71,大三和弦-弱拍
16.083,旋律,6,2,13,H0,84.14,1.00,50,soft-主音
16.167,旋律,6,2,14,H0,84.14,1.00,75,normal-主音
16.250,和弦,6,2,15,完全五度+大三度+小三度,252.7+210.3+201.9,0.60,92,大三和弦-强拍
16.250,旋律,6,2,15,H-,83.36,1.00,40,soft-主音
16.333,旋律,6,2,16,H0,84.14,1.00,75,normal-主音
16.417,旋律,6,2,17,H+,84.92,1.00,85,normal-主音
16.500,低音,6,3,18,T0,48.32,1.00,100,根音-强拍
16.500,旋律,6,3,18,H0,84.14,1.00,68,soft-主音
16.583,和弦,6,3,19,完全五度+大三度+小三度,290.3+241.6+232.0,0.40,71,大三和弦-弱拍
16.583,旋律,6,3,19,H0,84.14,1.00,50,soft-主音
16.667,旋律,6,3,20,H0,84.14,1.00,75,normal-主音
16.750,和弦,6,3,21,完全五度+大三度+小三度,290.3+241.6+232.0,0.60,92,大三和弦-强拍
16.750,旋律,6,3,21,H+,84.92,1.00,65,soft-主音
16.833,旋律,6,3,22,H0,84.14,1.00,75,normal-主音
16.917,旋律,6,3,23,H-,83.36,1.00,60,normal-主音
17.000,低音,6,4,24,M0,31.88,1.00,100,根音-强拍
17.000,旋律,6,4,24,H0,84.14,1.00,68,soft-主音
17.083,和弦,6,4,25,完全五度+大三度+小三度,191.5+159.4+153.0,0.40,71,大三和弦-弱拍
17.083,旋律,6,4,25,H-,83.36,1.00,40,soft-主音
17.167,旋律,6,4,26,H0,84.14,1.00,75,normal-主音
17.250,和弦,6,4,27,完全五度+大三度+小三度,191.5+159.4+153.0,0.60,92,大三和弦-强拍
17.250,旋律,6,4,27,H-,83.36,1.00,40,soft-主音
17.333,旋律,6,4,28,H0,84.14,1.00,75,normal-主音
17.417,旋律,6,4,29,H0,84.14,1.00,70,normal-主音
17.500,低音,7,0,0,M0,31.88,1.00,100,根音-强拍
17.500,旋律,7,0,0,M0,63.77,1.00,68,soft-主音
17.583,和弦,7,0,1,完全五度+大三度+小三度,191.5+159.4+153.0,0.40,71,大三和弦-弱拍
17.583,旋律,7,0,1,T0,96.65,1.00,50,soft-主音
17.667,旋律,7,0,2,S0,73.25,1.00,75,normal-主音
17.750,和弦,7,0,3,完全五度+大三度+小三度,191.5+159.4+153.0,0.60,92,大三和弦-强拍
17.750,旋律,7,0,3,S0,73.25,1.00,50,soft-主音
17.833,旋律,7,0,4,S+,73.93,1.00,90,normal-主音
17.917,旋律,7,0,5,S0,73.25,1.00,70,normal-主音
18.000,低音,7,1,6,S0,36.62,1.00,100,根音-强拍
18.000,旋律,7,1,6,S-,72.57,1.00,58,soft-主音
18.083,和弦,7,1,7,完全五度+大三度+小三度,220.0+183.1+175.8,0.40,71,大三和弦-弱拍
18.083,旋律,7,1,7,S0,73.25,1.00,50,soft-主音
18.167,旋律,7,1,8,S0,73.25,1.00,75,normal-主音
18.250,和弦,7,1,9,完全五度+大三度+小三度,220.0+183.1+175.8,0.60,92,大三和弦-强拍
18.250,旋律,7,1,9,J0,55.51,1.00,50,soft-主音
18.333,旋律,7,1,10,J0,55.51,1.00,75,normal-主音
18.417,旋律,7,1,11,J+,56.03,1.00,85,normal-主音
18.500,低音,7,2,12,H0,42.07,1.00,100,根音-强拍
18.500,旋律,7,2,12,J0,55.51,1.00,68,soft-主音
18.583,和弦,7,2,13,完全五度+大三度+小三度,252.7+210.3+201.9,0.40,71,大三和弦-弱拍
18.583,旋律,7,2,13,J+,56.03,1.00,65,soft-主音
18.667,旋律,7,2,14,J0,55.51,1.00,75,normal-主音
18.750,和弦,7,2,15,完全五度+大三度+小三度,252.7+210.3+201.9,0.60,92,大三和弦-强拍
18.750,旋律,7,2,15,J+,56.03,1.00,65,soft-主音
18.833,旋律,7,2,16,J0,55.51,1.00,75,normal-主音
18.917,旋律,7,2,17,J+,56.03,1.00,85,normal-主音
19.000,低音,7,3,18,T0,48.32,1.00,100,根音-强拍
19.000,旋律,7,3,18,J0,55.51,1.00,68,soft-主音
19.083,和弦,7,3,19,完全五度+大三度+小三度,290.3+241.6+232.0,0.40,71,大三和弦-弱拍
19.083,旋律,7,3,19,J-,55.00,1.00,40,soft-主音
19.167,旋律,7,3,20,J0,55.51,1.00,75,normal-主音
19.250,和弦,7,3,21,完全五度+大三度+小三度,290.3+241.6+232.0,0.60,92,大三和弦-强拍
19.250,旋律,7,3,21,J-,55.00,1.00,40,soft-主音
19.333,旋律,7,3,22,J0,55.51,1.00,75,normal-主音
19.417,旋律,7,3,23,J+,56.03,1.00,85,normal-主音
19.500,低音,7,4,24,M0,31.88,1.00,100,根音-强拍
19.500,旋律,7,4,24,J0,55.51,1.00,68,soft-主音
19.583,和弦,7,4,25,完全五度+大三度+小三度,191.5+159.4+153.0,0.40,71,大三和弦-弱拍
19.583,旋律,7,4,25,J+,56.03,1.00,65,soft-主音
19.667,旋律,7,4,26,J0,55.51,1.00,75,normal-主音
19.750,和弦,7,4,27,完全五度+大三度+小三度,191.5+159.4+153.0,0.60,92,大三和弦-强拍
19.750,旋律,7,4,27,J+,56.03,1.00,65,soft-主音
19.833,旋律,7,4,28,J0,55.51,1.00,75,normal-主音
19.917,旋律,7,4,29,J0,55.51,1.00,70,normal-主音
